gemeentecode,gemeentenaam,inwoners,pct_65plus,pct_65_80,pct_80plus,n_65plus,n_65plus_met_valrisico,n_65plus_at_risk_met_visusproblematiek,n_vallen_65plus,potentieel_vallen_door_visusproblematiek_65plus,sterfgevallen_door_visusproblematiek_65plus,kosten_ernstige_vallen_65plus,kosten_ernstige_vallen_visusproblematiek_65plus,n_65_80,n_65_80_met_valrisico,n_65_80_at_risk_met_visusproblematiek,n_vallen_65_80,potentieel_vallen_door_visusproblematiek_65_80,sterfgevallen_door_visusproblematiek_65_80,kosten_ernstige_vallen_65_80,kosten_ernstige_vallen_visusproblematiek_65_80,n_80plus,n_80plus_met_valrisico,n_80plus_at_risk_met_visusproblematiek,n_vallen_80plus,potentieel_vallen_door_visusproblematiek_80plus,sterfgevallen_door_visusproblematiek_80plus,kosten_ernstige_vallen_80plus,kosten_ernstige_vallen_visusproblematiek_80plus
164,Hengelo (O),84054,0.212,0.157,0.054000000000000006,17819,5880,1176,4234,1098,5,4622588,239777,13196,4355,871,3136,813,4,3423702,177540,4539,1498,300,1080,280,1,1177659,61145
166,Kampen,56804,0.183,0.138,0.045,10395,3430,686,2470,640,3,2696510,139761,7839,2587,517,1861,482,2,2033781,105257,2556,843,169,608,158,1,662728,34503
168,Losser,23414,0.257,0.198,0.059000000000000004,6017,1986,397,1429,370,2,1561303,80799,4636,1530,306,1102,286,1,1202816,62456,1381,456,91,328,85,0,358486,18562
171,Noordoostpolder,51824,0.191,0.147,0.044000000000000004,9898,3266,653,2351,610,3,2567580,133209,7618,2514,503,1811,470,2,1976392,102637,2280,752,150,540,140,1,591188,30573
173,Oldenzaal,32088,0.253,0.18600000000000003,0.067,8118,2679,536,1930,500,2,2106108,109188,5968,1969,394,1418,368,2,1547938,80362,2150,710,142,511,132,1,558170,28826
175,Ommen,19296,0.244,0.187,0.057999999999999996,4708,1554,311,1120,290,1,1221684,63329,3608,1191,238,857,222,1,936310,48480,1119,369,74,266,69,0,290091,15068
177,Raalte,38977,0.251,0.18899999999999997,0.063,9783,3228,646,2326,603,3,2537706,131681,7367,2431,486,1750,454,2,1911141,99143,2456,810,162,583,151,1,636785,32975
180,Staphorst,18169,0.16399999999999998,0.125,0.039,2980,983,197,709,184,1,772790,40181,2271,749,150,540,140,1,588830,30573,709,234,47,169,44,0,183960,9609
183,Tubbergen,21636,0.223,0.16699999999999998,0.055,4825,1592,318,1145,297,1,1251558,64858,3613,1192,238,857,222,1,937096,48480,1190,393,79,284,74,0,308959,16160
184,Urk,22389,0.107,0.083,0.024,2396,791,158,569,148,1,621848,32320,1858,613,123,443,115,1,481913,25113,537,177,35,126,33,0,139149,7206
