Gemeente;Totaal, 65 jaar of ouder;65 tot 80 jaar;80 jaar of ouder
Lingewaard;24,2;18,7;5,5
Lisse;24,6;18,0;6,6
Lochem;30,3;22,0;8,3
Loon op Zand;24,4;18,2;6,2
Lopik;19,4;15,1;4,3
Losser;25,7;19,8;5,9
Maasdriel;21,1;16,7;4,5
Maasgouw;29,4;22,1;7,3
Maashorst;23,2;17,4;5,9
Maassluis;22,8;17,1;5,7
Maastricht;22,4;16,4;6,0
Medemblik;23,4;18,2;5,2
Meerssen;28,9;20,9;7,9
Meierijstad;22,8;17,4;5,5
Meppel;21,2;16,0;5,2
Middelburg (Z.);23,3;17,0;6,3
Midden-Delfland;22,1;16,5;5,6
Midden-Drenthe;26,3;20,0;6,3
Midden-Groningen;24,2;18,4;5,7
Moerdijk;23,5;17,8;5,6
Molenlanden;20,4;15,4;4,9
Montferland;25,1;18,8;6,4
Montfoort;21,8;16,4;5,4
Mook en Middelaar;29,4;21,9;7,6
Neder-Betuwe;18,0;14,1;3,9
Nederweert;25,8;19,4;6,4
Nieuwegein;21,6;17,1;4,5
Nieuwkoop;23,1;17,5;5,5
Nijkerk;20,0;15,1;5,0
Nijmegen;16,9;13,1;3,8
Nissewaard;21,8;17,2;4,6
Noardeast-Fryslân;23,1;17,2;5,8
Noord-Beveland;30,5;22,7;7,8
Noordenveld;29,1;20,9;8,2
Noordoostpolder;19,1;14,7;4,4
Noordwijk;23,7;17,9;5,8
Nuenen, Gerwen en Nederwetten;27,3;20,0;7,3
Nunspeet;21,9;16,3;5,7
Oegstgeest;21,6;15,6;6,0
Oirschot;25,0;19,1;5,9
Oisterwijk;26,0;18,8;7,2
Oldambt;26,4;19,9;6,4
Oldebroek;21,0;16,0;5,0
Oldenzaal;25,3;18,6;6,7
Olst-Wijhe;23,8;18,3;5,5
Ommen;24,4;18,7;5,8
Oost Gelre;25,2;19,0;6,1
Oosterhout;23,8;18,1;5,7
Ooststellingwerf;26,5;19,9;6,6
Oostzaan;22,5;16,4;6,2
Opmeer;23,4;17,6;5,7
Opsterland;24,3;18,3;6,0
Oss;21,3;16,2;5,1
Oude IJsselstreek;26,4;19,9;6,4
Ouder-Amstel;22,3;16,8;5,5
Oudewater;23,1;16,9;6,1
Overbetuwe;21,7;16,6;5,1
Papendrecht;23,2;16,7;6,5
Peel en Maas;24,7;18,6;6,1
Pekela;24,1;18,5;5,6
Pijnacker-Nootdorp;16,5;12,1;4,4
Purmerend;21,6;16,1;5,6
Putten;22,1;15,9;6,2
Raalte;25,1;18,9;6,3
Reimerswaal;18,1;13,4;4,7
Renkum;29,7;21,0;8,7
Renswoude;16,9;13,5;3,5
Reusel-De Mierden;23,5;19,0;4,6
Rheden;27,2;19,0;8,2
Rhenen;22,9;16,8;6,1
Ridderkerk;24,5;17,5;7,0
Rijssen-Holten;20,0;14,7;5,3
Rijswijk (ZH.);20,6;14,8;5,7
Roerdalen;29,7;22,4;7,3
Roermond;22,7;17,2;5,5
De Ronde Venen;22,9;17,1;5,7
Roosendaal;23,2;17,3;5,9
Rotterdam;16,0;12,0;3,9
Rozendaal;23,3;18,0;5,3
Rucphen;23,9;18,7;5,1
Schagen;26,0;19,3;6,7
Scherpenzeel;20,0;14,5;5,5
Schiedam;17,8;13,5;4,3
Schiermonnikoog;31,4;22,7;8,8
Schouwen-Duiveland;29,3;21,3;8,0
Simpelveld;29,4;21,4;8,0
Sint-Michielsgestel;23,4;17,5;5,9
Sittard-Geleen;26,1;19,5;6,6
Sliedrecht;20,6;14,9;5,7
Sluis;30,1;22,0;8,1
Smallingerland;22,6;16,5;6,1
Soest;23,8;17,3;6,5
Someren;22,7;17,0;5,7
Son en Breugel;22,4;14,8;7,6
Stadskanaal;26,6;19,4;7,2
Staphorst;16,4;12,5;3,9
Stede Broec;23,8;18,0;5,8
Steenbergen;24,3;18,4;6,0
Steenwijkerland;24,2;18,2;6,0
Stein (L.);29,7;22,0;7,6
Stichtse Vecht;22,6;17,2;5,3
Súdwest-Fryslân;24,8;18,4;6,4
Terneuzen;26,0;18,8;7,2
Terschelling;25,0;18,5;6,5
Texel;28,2;21,5;6,8
Teylingen;21,8;16,1;5,7
Tholen;20,6;15,4;5,3
Tiel;20,0;15,4;4,6
Tilburg;17,6;13,4;4,3
Tubbergen;22,3;16,7;5,5
Twenterand;21,1;16,1;5,0
Tynaarlo;25,9;18,8;7,1
Tytsjerksteradiel;24,9;18,2;6,7
